Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly)
0615210000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0615220000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0615230000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0615240000,13.9286576078,0.0,0.0,0.0,5.48122459637,1.0115996781
0616010000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0616020000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0616030000,9.467157607799999,0.0,0.0,0.0,5.48122459637,1.0115996781
0616040000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0616050000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0616060000,22.258080146999998,15.7652558726,0.0,0.0,5.48122459637,1.0115996781
0616070000,42.748152648499996,15.7652558726,0.0,0.0,21.9248983855,5.05799839049
0616080000,62.22662547189999,15.7652558726,0.0,0.0,38.3685721746,8.09279742479
0616090000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0616100000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0616110000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0616120000,67.8161133184,15.7652558726,0.10826325014499999,0.0,43.8497967709,8.09279742479
0616130000,74.5746269773,15.7652558726,0.373952634536,0.0,49.331021367299996,9.10439710289
0616140000,74.7204550419,15.7652558726,0.51978069912,0.0,49.331021367299996,9.10439710289
0616150000,74.83615398159999,15.7652558726,0.635479638868,0.0,49.331021367299996,9.10439710289
0616160000,74.88212883189999,15.7652558726,0.681454489172,0.0,49.331021367299996,9.10439710289
0616170000,20.490072501500002,0.0,0.0,0.0,16.4436737891,4.04639871239
0616180000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0616190000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0616200000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0616210000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0616220000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0616230000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0616240000,13.9286576078,0.0,0.0,0.0,5.48122459637,1.0115996781
0617010000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0617020000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0617030000,9.467157607799999,0.0,0.0,0.0,5.48122459637,1.0115996781
0617040000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0617050000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0617060000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0617070000,22.258080146999998,15.7652558726,0.0,0.0,5.48122459637,1.0115996781
