Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly)
0416120000,107.014261207,19.6923492859,41.0263619018,0.0,4.1224310944800004,41.736226933699996
0416130000,117.878024903,23.6264323039,46.778352904399995,0.0,4.1224310944800004,41.736226933699996
0416140000,106.837909536,19.699700436700002,40.765261659000004,0.0,4.1224310944800004,41.736226933699996
0416150000,113.85123372,23.6253825705,43.8210909842,0.0,4.1224310944800004,41.736226933699996
0416160000,86.0321992817,19.6873567353,36.9069847453,0.0,4.1224310944800004,24.878534626100002
0416170000,77.82209464569999,22.745355489899996,36.4857427701,0.0,2.0612155472400002,15.988889478900001
0416180000,66.4744337079,18.5178283394,29.4914502131,0.0,2.0612155472400002,15.988889478900001
0416190000,72.2061367089,19.158898338900002,27.5127411602,0.0,2.0612155472400002,15.988889478900001
0416200000,65.621591021,14.959134895999998,18.1678269429,0.0,2.0612155472400002,15.988889478900001
0416210000,65.2417133466,15.2219804497,17.3857724501,0.0,2.0612155472400002,15.988889478900001
0416220000,64.1298622417,15.3074336032,16.295036343299998,0.0,2.0612155472400002,15.988889478900001
0416230000,71.6332806722,18.545592047,20.3554414851,0.0,2.0612155472400002,15.988889478900001
0416240000,58.5822215625,13.1206573742,12.753555216199999,0.0,2.0612155472400002,15.988889478900001
0417010000,68.3108901858,17.0590166174,16.6295570403,0.0227879036637,4.1224310944800004,15.988889478900001
0417020000,76.5073965573,21.867762290300004,19.8872115917,0.0,4.1224310944800004,15.988889478900001
0417030000,68.0350749096,18.3703616779,14.923105476,0.09839522379830001,4.1224310944800004,15.988889478900001
0417040000,101.18780307,27.9936184396,20.9509697369,0.18423466936900001,12.367293283399999,24.9413748627
0417050000,117.553455109,28.0266924603,24.167834219099998,13.299948246600001,12.367293283399999,24.9413748627
0417060000,167.603817825,28.9294427575,24.229021729699998,11.2883921856,24.7345865669,70.7195625826
0417070000,188.88706318400003,29.0543826211,24.8997123843,4.781216398480001,37.1018798503,92.3937384068
0417080000,205.62687995,29.2202815819,31.5811565903,2.63036371058,37.1018798503,104.43494719799999
